,UBR,UFR,UFL,FLU,FRU,FRD,FLD,RFU,RBU,RBD,RFD,BRU,BLD,BRD,LUF,LDF,LBD,DLF,DRF,DRB,DLB
RFD,"[U ; [U, R' D' R]]","[U2, R' D' R]","[U' ; [U', R' D' R]]","[R U' R2 : [D', R U' R']]","[D2 R : [U, R D' R']]",,"[D ; [D, R' U R]]","[U' R' U' : [U', R D R']]","[U' L' U, R2] ","[U R U' : [R' U' R, D]]",,"[R' U ; [R D R', U2]]","[R' U : [D',R' U' R]]","[R' U R, D] ","[U R' U' D : [R D' R', U2]]","[R' D' ; [D2, R U2 R']]","[D : [D2, R' U R]]",r2 U R U' r2' D R' D',,"[R U'D' R2 : [D, R U' R']]","[U2 R : [U', R D' R']]"
FDR,"[D : [U, R D R']]","[D U : [R D R', U2]]","[D' U2 ; [R' D R, U]]","[U D R U D : [R' U' R, D']]","[U R' U' : [R D R', U']]",,"[R D' U' : [R D' R', U2]]","[U'D' R2 : [R U' R', D]]","[R U' ; [R D R', U2]]",U R' U' R D R' U R U'D',,"[D' R' ; [U2, R' D R]]","[D2,  R U2 R']","[D R D : [D2, R' U R]]","[U R' U' : [R D R', U2]]","[D, R U2 R']","[R U' ; [R D' R', U2]]","[U R' D U : [R U' R', D2]]",,"[U' R D' : [R' D R, U']]","[U D R' : [U, R' D R]]"
DFR,"[R' D R : [U, R D' R']]","[R2 : [R2 D R2 D' R2, U]]","[R' D U2 : [U', R D' R']]","[U R2 U', L']","[R U R' : [U', R' D' R]]",,"[R' ; [D2, R' U R]]","[R' : [D, R' U R]]","[D R U R' : [U', R D R']]","[U'D R : [D2, R U' R']]",,"[R' D U' : [U2, R D' R']]","[U R2 U', L]","[R' D U : [R D' R', U']]","[D' U R' : [R' D R, U2]]","[R' D R U : [R D' R', U2]]","[R' ; [D', R' U R]]","[R U R' : [U', R' D R]]",,"[R U R' U' : [U', R D R']]","[R U R' ; [U', R' D2 R]]"
UBR,,"[l' : [R' D2 R, U]]","[R D U2 : [U', R D' R']]",r U R' U' L' U l F',F' r U R' U' L' U l,"[D : [R D R', U]]","[D' : [R D' R', U]]","[U R : [U2, R D R']]",,"[R D R', U]","[U ; [R' D' R, U]]",,"[D' : [R D R', U]]","[D R D' R', U]","[U R' : [R' D' R, U2]]","[U ; [R' D R, U]]","[R D' R', U]","[R' U R' : [U', R' D R]]","[R' D R : [R D' R', U]]","[R D' R' U R' D R, U]","[R' U D R' : [U', R' D R]]"
UFR,"[l' : [U, R' D2 R]]",,"[R' D U : [R D R', U]]","[l' : [U2, R' D2 R]]",,"[D U' : [R D R', U2]]","[D' U' : [R D' R', U2]]",,"[U R D : [R D' R', U2]]","[U' ; [R D R', U2]]","[R' D' R, U2]","[R' D U' : [U2, R D R']]","[D' U : [U2, R D R']]","[D U' : [R D' R', U2]]","[R' U R' U : [U2, R D R']]","[R' D R, U2]","[U' ; [R D' R', U2]]","[R D R' U : [U2, D R D' R']]","[R2 : [U, R2 D R2 D' R2]]","[R D' R' : [R' D R, U2]]","[R' U D R' : [U, R' D R]]"
UFL,"[R D R' U2 : [R D' R', U']]","[R' D' U' : [R' D R, U']]",,,"[l' U' ; [R D' R', U2]]","[D' U' ; [R' D R, U']]","[D U' : [R' D' R, U']]","[x' ; [R U' R', D]]","[R U ; [U,R D R']]","[U2 ; [R D R', U']]","[U' ; [R' D' R, U']]","[l U' ; [R' D R, U2]]","[D U' : [R' D R, U']]","[D U2 : [R D' R', U']]",,"[U' ; [R' D R, U']]","[U2 ; [R D' R', U']]","[U R D R' : [D', R' U R]]","[R' D U2 : [R D' R', U']]","[R D' U2 ; [U, R' D R]]","[D' R D' U2 ; [U, R' D R]]"
FLU,F l' U' L U R U' r',"[l' : [R' D2 R, U2]]",,,"[U' R' U, L]","[U D R U D : [D', R' U' R]]","[U' R' U' : [D, R U R']]","[U' R' : [U', R' D' R]]","[L', U R U']","[U R U : [R' U' R, D]]","[R U' R2 : [R U' R', D']]","[l D U' : [R' D' R, U2]]","[D' U R U : [R' U' R, D]]","[L', U R' U']",,"[U2 R' U : [R U' R', D]]","[U R U D' : [D, R' U' R]]","[U'D R' U' : [D', R U R']]","[L', U R2 U']","[U' F : [D', R U R']]","[U2 R U' : [D', R' U R]]"
FRU,l' U' L U R U' L' U x',,"[l' U ; [R D' R', U2]]","[z ; [U, R' D' R]]",,"[U R' U' : [U', R D R']]","[D' R : [R D' R', U]]",,"[R ; [R D R', U]]","[R U ; [R' D' R, U]]","[D2 R : [R D' R', U]]","[R : [R2 D R2 D' R2, U]]","[R D' : [R D R', U]]","[D R : [R D' R', U]]","[U' R ; [U2, R D R']]","[R U ; [R' D R, U]]","[R ; [R D' R', U]]","[U R' : [U', R' D R]]","[R U R' : [R' D' R, U']]","[R D : [R D R', U]]","[D U R2 : [R U' R', D]]"
FLD,"[D' : [U, R D' R']]","[D' U' : [U2, R D' R']]","[D U' : [U', R' D' R]]","[U' R' U' : [R U R', D]]","[R ; [U, R D2 R']]","[z R' : [U', R' D R]]",,"[R' D : [R' U R, D]]","[D' U R U'D' : [R' U R, D]]","[R D : [R' U R, D]]","[D ; [R' U R, D]]","[D R' U' : [U2, R D R']]","[D' R D' : [D2, R' U R]]","[R' U R, D2]","[D' U'  R : [U2, R D' R']]",,"[D2 ; [D, R' U R]]",,"[R2 : [U, R D2 R']]","[D' R' : [R' U R, D']]",D r2 U R U' r2 D R' D2
RFU,"[U R : [R D R', U2]]",,"[R' U' ; [U', R' D' R]]","[U' R2 : [D', R U' R']]",,"[U'D' R2 : [D, R U' R']]","[R' D : [D, R' U R]]",,U' r' F R F' r U R',"[U R2 : [R' D' R, U']]","[U R U' : [R D R', U']]","[R' ; [U2, R' D' R]]","[D U' R' : [R' D R, U']]","[R' U2 ; [R' D' R, U']]","[R U R' D U : [U2, R D R']]","[U' R' : [R' D R, U']]","[R' D' : [R' U R, D2]]",r U R U' r2 D R' D' r,"[R' : [R' U R, D]]","[D' R' : [R' U R, D]]",D r U R U' r2 D R' D' r D'
RBU,,"[R' U'D' R2 : [D, R U' R']]","[R U ; [R D R', U]]","[U R U', L']","[R ; [U, R D R']]","[R U ; [R D R', U2]]","[D' U R U'D' : [D, R' U R]]","[R, U' L' U]",,R' U' r' F R F' r U,"[R2, U' L' U] ",,"[U R U', L]","[U D R U' : [R' U R, D']]","[U R' D' : [R' D R, U2]]","[R U : [D2, R' U' R]]","[U R U'D' : [D, R' U R]]","[R U R' ; [U, R' D R]]","[D R D U : [R' U' R, D']]","[R D U : [R' U' R, D']]","[D' R D U : [R' U' R, D']]"
RBD,"[U, R D R']","[U ; [R D R', U2]]","[U ; [R D R', U]]","[U R U : [D, R' U' R]]","[R U2 ; [R' D' R, U']]",D U R' U' R D' R' U R U',"[R D : [D, R' U R]]","[U R2 : [U', R' D' R]]","[U' L' U, R']",,"[U R U' : [D, R' U' R]]","[D R' : [U2, R' D2 R]]","[U : [D', R' U' R]]",,"[U' R U' : [R' D' R, U2]]","[U : [D2, R' U' R]]","[R D' ; [R' U R, D2]]","[U R' ; [U, R' D R]]","[R U R' D' : [R' D' R, U']]",,"[U R' ; [U, R' D2 R]]"
BRU,,"[R' D U' : [R D R', U2]]","[l U ; [R' D R, U2]]","[l D U' : [U2, R' D' R]]","[R : [U, R2 D R2 D' R2]]","[D' R' ; [R' D R, U2]]","[D R' U' : [R D R', U2]]","[R' ; [R' D' R, U2]]",,"[D R' : [R' D2 R, U2]]","[R' U' ; [R D R', U2]]",,"[R' D' U : [U2, R D R']]","[D R' U' : [R D' R', U2]]","[R2 U R' U : [U2, R D R']]","[R' ; [R' D R, U2]]","[R' U' ; [R D' R', U2]]","[D R' D U' : [R D' R', U2]]","[R' D U' : [R D' R', U2]]","[D' R' D U' : [R D' R', U2]]",R D' B2 D R' D' R B2 R' D
BLD,"[D' : [U, R D R']]","[D' U : [R D R', U2]]","[D' U : [R D R', U]]","[D' U R U : [D, R' U' R]]","[R D' : [U, R D R']]","[D U : [R' U' R, D2]]","[D' R D' : [R' U R, D2]]","[D U' R' : [U', R' D R]]","[L, U R U']","[U : [R' U' R, D']]","[R' U : [R' U' R, D']]","[R' ; [U2, R' D2 R]]",,"[L, U R' U'] ","[U R' U : [U2, R D' R']]","[D2 U : [R' U' R, D]]",,"[D' U R' : [U, R' D2 R]]","[L, U R2 U']","[R U D' : [D2, R' U' R]]",
BRD,"[D : [U, R D' R']]","[D U' : [U2, R D' R']]","[D U2 : [U', R D' R']]",U R' U' r' F R F' r,"[D R : [U, R D' R']]","[D R D : [R' U R, D2]]","[D2, R' U R]","[R' U ; [R' D' R, U]]","[U D R U' : [D', R' U R]]",,"[D, R' U R] ","[D R' U' : [U2, R D' R']]","[U R' U', L]",,"[D U' R : [U2, R D' R']]","[R' U2 ; [U', R' D R]]","[D', R' U R]","[U R' U', L2]","[R' D : [R D' R', U]]",,"[D' R U'D' R2 : [D, R U' R']]"
LUF,"[U R' ; [U2, R' D' R]]","[R' U R' U : [R D R', U2]]",,,"[U' R ; [R D R', U2]]","[U R' U : [R D R', U2]]","[D' U'  R : [R D' R', U2]]","[R U R' D U : [R D R', U2]]","[U R' D' U2  : [R' D R, U2]]","[U' R U : [R' D' R, U2]]","[U R' U D : [R D' R', U2]]","[R2 U R' U : [R D R', U2]]","[U R' U : [R D' R', U2]]","[D U' R : [R D' R', U2]]",,"[U' R U : [R' D R, U2]]","[U' R : [R D' R', U2]]","[U R' ; [U2, R' D R]]","[D' U R' : [U2, R' D R]]","[R U R' U' : [U2, R D R']]","[U R': [U2, R' D2 R]]"
LDF,"[U ; [U, R' D R]]","[U2, R' D R]","[U2 ; [R' D R, U]]",U2 R U' r2 D R' D' r2 U',"[R U2 ; [R' D R, U']]","[U' : [R U' R', D]]",,"[U' R' : [U', R' D R]]","[R U : [R' U' R, D2]]","[U : [R' U' R, D2]]","[R' D' ; [R U2 R', D2]]","[R' ; [U2, R' D R]]","[D2 : [R U2 R', D']]","[R' U ; [U, R' D R]]","[U' R U' : [R' D R, U2]]",,"[D' : [L, U R' U']]",,"[U'D R D' : [R' D R, U']]","[U' R2 : [U', R' D R]]","[D' R D' U : [D2, R' U' R]]"
LBD,"[U, R D' R']","[U ; [R D' R', U2]]","[U ; [R D' R', U]]","[U R U D' : [R' U' R, D]]","[R ; [U, R D' R']]","[R U ; [R D' R', U2]]","[D2 ; [R' U R, D]]","[R' D : [R' U R, D2]]","[U R U'D' : [R' U R, D]]","[R D ; [R' U R, D2]]","[D : [R' U R, D2]]","[R' U ; [R D' R', U2]]",,"[R' U R, D']","[U' R : [U2, R D' R']]","[D' R' D' : [R D R', U]]",,"[D R' : [R' U R, D2]]","[R2 : [U, R D' R']]","[D' R' D : [R D' R', U]]",
DLF,r' D R' D' r2 U R U' r',"[R D R' U : [D R D' R', U2]]","[U R D R' : [R' U R, D']]","[U'D R' U' : [R U R', D']]","[U R' : [R' D R, U']]","[U R' D U : [D2, R U' R']]",,"[D R' : [D, R' U R]]","[R U R' ; [R' D R, U]]","[U R' ; [R' D R, U]]",D R D' r2' U R' U' r2,"[D R' D U' : [U2, R D' R']]","[D' U R' : [R' D2 R, U]]","[D R' : [D', R' U R]]","[U R' ; [R' D R, U2]]",,"[D R' : [D2, R' U R]]",,"[R U R' : [R' D R, U']]","[D R U R' ; [U', R' D2 R]]","[D R U R' : [U', R' D R]]"
DRB,"[U, R D' R' U R' D R]","[R D' R' : [U2, R' D R]]","[D' R' U D : [R D' R', U]]","[l U'D : [R U R', D2]]","[R D : [U, R D R']]","[R D' ; [U2, R' D R]]","[D' R' : [D', R' U R]]","[D' R' : [D, R' U R]]","[R U R' : [U', R D R']]",,"[D' R' : [D2, R' U R]]","[D' R' D U' : [U2, R D' R']]","[R U D' : [R' U' R, D2]]",,"[R U R' U' : [R D R', U2]]","[R U' : [D, R U' R']]","[R2 U' : [R D' R', U2]]","[D R U R' ; [R' D2 R, U']]","[R U R' U' : [R D R', U']]",,"[R U D R' : [U, R' D R]]"
DLB,"[R' U D R' : [R' D R, U']]","[R' U D R' : [R' D R, U]]","[D' R D' U2 ; [R' D R, U]]","[U2 R U' : [R' U R, D']]","[D U R2 : [D, R U' R']]","[U D R' : [R' D R, U]]",D2 R D' r2' U R' U' r2 D',"[U2 R : [R D' R', U]]","[D' R U R' : [U', R D R']]","[U R' ; [R' D2 R, U]]","[D2 R' : [D', R' U R]]",D' R B2 R' D R D' B2 D R',,"[D2 R' : [D2, R' U R]]","[D U R2' : [D, R U2 R']]","[D' R D' U : [R' U' R, D2]]",,"[D R U R' : [R' D R, U']]","[R U R' ; [R' D2 R, U']]","[R U D R' : [R' D R, U]]",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,