,Ub,Ur,Uf,Ul,Lu,Lf,Ld,Lb,Fu,Fr,Fd,Fl,Ru,Rb,Rd,Rf,Bu,Bl,Bd,Br,Df,Dr,Db,Dl
Ub,,,,,,,,,,,,,,,,,,,,,,,,
Ur,"[Rw' y: [U2, r' E r]]",,,,,,,,,,,,,,,,,,,,,,,
Uf,,,,,,,,,,,,,,,,,,,,,,,,
Ul,"[Lw y: [U2, r E' r']]","[3Rw' U': [U' r U, M']]",,,,,,,,,,,,,,,,,,,,,,
Lu,"[U2, M u' M']","[M' u M, U]",,"[M' u M, U']",,,,,,,,,,,,,,,,,,,,
Lf,"[U' : [r' E r, U2]]","[U', r' E r]",,"[U, l' E' l]","[z: [r E r', U']]",,,,,,,,,,,,,,,,,,,
Ld,"[M d M', U2]","[M d M', U]",,"[M d M', U']","[z: [r E r', U2]]","[z: [U, l E' l']]",,,,,,,,,,,,,,,,,,
Lb,"[U': [r E' r', U2]]","[U', r E' r']",,"[U, l E l']","[z: [r E r', U]]","[z U': [r E r', U2]]","[z: [l E' l', U']]",,,,,,,,,,,,,,,,,
Fu,"[U' Rw' U: [U r U', M']]","[Rw' U2 : [M', U r U']]",,"[y: [U, M u' M']]","[Uw': [M' U' M, u]]","[z r: [U', r E r']]","[z r: [U2, r E r']]","[z r: [U, r E r']]",,,,,,,,,,,,,,,,
Fr,"[y: [U2, r' E r]]","[x: [r', U M U']]",,"[U, l' E2 l]","[Uw': [r, U' M' U]]","[E, r U' r']","[Dw: [U' r U, M']]","[r: [r E' r', U']]","[U' : [r, U' M' U]]",,,,,,,,,,,,,,,
Fd,"[U Rw' U' : [M', U' r U]]","[Rw: [M', U' r' U]]",,"[x: [U l U', M]]","[Lw: [M', 3Uw l 3Uw']]","[M', 3Uw' r 3Uw]","[U: [d, M' U' M]]","[z: [l' U' l, E']]","[Uw M' : [M' u M, U']]","[M', U' r U]",,,,,,,,,,,,,,
Fl,"[y: [U2, r E' r']]","[U', r E2 r']",,"[x: [l, U' M U]]","[Uw: [l', U' M U]]","[l' : [l' E' l, U]]","[Dw: [U l' U', M']]","[E, l' U l]","[U: [l', U M' U']]","[r: [U', r E2 r']]","[U l' U', M']",,,,,,,,,,,,,
Ru,"[U2, M u M']","[M' u' M, U]",,"[M' u' M, U']","[y': [M' U' M, u2]]","[y: [U M' U', l]]","[Uw' M : [M d M', U]]","[z r': [r' U r, E]]","[U: [M' U M, u]]","[Uw': [U M U', r]]","[z': [E, r U2 r']]","[Uw: [U M' U', l']]",,,,,,,,,,,,
Rb,"[U': [r' E' r, U2]]","[U', r' E' r]",,"[U, l' E l]","[y U': [U' r U, M]]","[E: [r U' r', E2]]","[y' U: [U l U', M']]","[R y U': [M', U' r' U]]","[Rw' U: [M' U M, u]]","[r U' r', E']","[z': [E, r U r']]","[l': [U, l' E l]]","[z': [l' E' l, U']]",,,,,,,,,,,
Rd,"[M d' M', U2]","[M d' M', U]",,"[M d' M', U']","[x' z' : [M2, U r U']]","[y: [U' M' U, l]]","[y': [M' U M, d2]]","[y U': [M', U' r' U]]","[x' z' r: [U, r E r']]","[Dw': [M', U' r U]]","[U: [M' U' M, d']]","[Dw': [M', U l' U']]","[z': [U2, r' E r]]","[z': [U, r' E r]]",,,,,,,,,,
Rf,"[U': [r E r', U2]]","[U', r E r']",,"[U, l E' l']","[y': [r', U' M' U]]","[R y: [U M' U', l]]","[y' : [r', U M' U']]","[E: [l' U l, E2]]","[Rw U: [M' U M, u]]","[r: [U', r E r']]","[z': [E, r U' r']]","[l' U l, E']","[y: [l', U M' U']]","[z' U: [r' E r, U2]]","[z' : [r' E r, U']]",,,,,,,,,
Bu,"[U' Rw' U : [M, U' r U]]","[Rw': [M, U' r U]]",,"[Lw: [M, U l' U']]","[Uw: [M U' M', u']]","[M, 3Uw' r 3Uw]","[z: [r' U2 r, E]]","[z: [r' U r, E]]","[U': [M' U' M, u2]]","[M, U' r U]","[U' x': [M2, U' r U]]","[M, U l' U']","[Uw': [M U M', u]]","[z': [l U' l', E']]","[z': [l U2 l', E']]","[M, 3Uw' r' 3Uw]",,,,,,,,
Bl,"[y: [U2, r' E' r]]","[U', r' E2 r]",,"[x' Lw': [U' M' U, l]]","[Uw: [l, U' M U]]","[E', l U l']","[Dw: [U l U', M']]","[l: [l E l', U]]","[U: [l, U M' U']]","[r U' r', E2]","[U l U', M']","[x': [l2, U' M' U]]","[Uw: [l, U M' U']]","[E, l U l']","[Dw': [U l U', M']]","[l: [l E' l', U]]","[U l U', M]",,,,,,,
Bd,"[U' Rw' U : [U r U', M]]","[U' Rw' : [U r U', M]]",,"[U Lw : [U' l' U, M]]","[y' M': [U', M' d' M]]","[3Uw' : [U' M U, r]]","[y': [M' U M, d]]","[z l: [U', l E' l']]","[U' x': [M2, U r U']]","[U': [U' M U, r]]","[U': [M' U M, d2]]","[U: [U M U', l']]","[z' r': [U2, r' E r]]","[z' r': [U, r' E r]]","[y: [M' U' M, d']]","[z' r': [U', r' E r]]","[Uw M: [M u M', U]]","[U: [U M U', l]]",,,,,,
Br,"[y: [U2, r E r']]","[x' Rw: [U M' U', r']]",,"[U, l E2 l']","[U': [r', Uw' M' Uw]]","[r': [r' E r, U']]","[Dw: [U' r' U, M']]","[E', r' U' r]","[U' : [r', U' M' U]]","[x: [U M U', r2]]","[U' r' U, M']","[l' U l, E2]","[Uw' : [r', U M U']]","[r': [r' E' r, U']]","[Dw': [U' r' U, M']]","[E, r' U' r]","[U' r' U, M]","[r': [r' E2 r, U']]","[U': [r', U' M U]]",,,,,
Df,"[M' u2 M, U2]","[M' u2 M, U]",,"[M' u2 M, U']","[y': [r2, U' M' U]]","[D r: [E, r U' r']]","[y': [r2, U M' U']]","[D r': [E', r' U' r]]","[U' x : [U r' U', M']]","[U': [U' M2 U, r]]","[D: [U' r2 U, M']]","[U: [U M2 U', l']]","[y': [r2, U M U']]","[D r: [E', r U' r']]","[y: [l2, U' M' U]]","[D r': [E, r' U' r]]","[y: [l2, Uw M' Uw']]","[U: [U M2 U', l]]","[U' x': [U r U', M]]","[U': [U' M2 U, r']]",,,,
Dr,"[D': [M d2 M', U2]]","[3Lw: [U M' U', r2]]",,"[M U: [M', U' r2 U]]","[Uw': [r2, U' M' U]]","[r: [E, r U' r']]","[x z: [U' r' U, M']]","[r': [E', r' U' r]]","[U': [r2, U' M' U]]","[x : [U M U', r]]","[U' r2 U, M']","[D: [M2, U l' U']]","[Uw': [r2, U M U']]","[r: [E', r U' r']]","[d': [U' r2 U, M']]","[r': [E, r' U' r]]","[U' r2 U, M]","[D: [M2, U l U']]","[U': [r2, U' M U]]","[x' : [U M' U', r']]","[M' u2 M, D']",,,
Db,"[U2, M' d2 M]","[Rw': [M2, U' r U]]",,"[Lw: [M2, U l' U']]","[y U': [U' r2 U, M]]","[M2, 3Uw l 3Uw']","[Dw: [U l2 U', M']]","[z E': [r' U r, E2]]","[U'D': [r2, U' M' U]]","[M2, U' r U]","[D': [U' r2 U, M']]","[M2, U l' U']","[y U: [U r2 U', M']]","[z' E': [r U r', E2]]","[Dw': [U' r2 U, M']]","[z' E': [r U' r', E2]]","[D: [U l2 U', M]]","[M2, U l U']","[D' U' : [r2, U' M U]]","[M2, U' r' U]","[M' u2 M, D2]","[M2, U' r2 U]",,
Dl,"[D: [M d2 M', U2]]","[M U: [M', U l2 U']]",,"[3Rw': [U' M' U, l2]]","[Uw: [l2, U' M U]]","[l: [E', l U l']]","[d: [U l2 U', M']]","[l': [E, l' U l]]","[U: [l2, U M' U']]","[D': [M2, U' r U]]","[U l2 U', M']","[x: [U' M U, l']]","[Uw: [l2, U M' U']]","[l: [E, l U l']]","[x z': [U l U', M']]","[l': [E', l' U l]]","[U l2 U', M]","[x': [U' M' U, l]]","[U: [l2, U M U']]","[D': [M2, U' r' U]]","[M' u2 M, D]","[D': [M' u2 M, D2]]","[U l2 U', M2]",
