,Second piece,UB (D),UR (B),UF (A),UL (C),FU (E),FR (F),FL (G),RU (I),RB (K),RD (L),RF (J),BU (Q),BL (S),BD (T),BR (R),LU (M),LF (N),LD (P),LB (O),DR (V),DB (X),DL (W)
Third piece,-------------,,,,,,,,,,,,,,,,,,,,,,
UB (D),,,"[R U R' U' , M2] (BD)  ","[U2, M'] (AD)","L' U' L U , M2 (CD)","[U' : [R' F' R , S]] (ED)","[U R U', M2] (FD)","[U' L' U, M2] (GD)","[r' : [U' R U , M2]] (ID)","[U' R2 : [F' , R S R']] (KD)  ","[D : [M , U R2 U']] (LD)  ","[U' : [F' , R S R']] (JD)  ",,"[U' L U, M2] (SD)","[U M2 : [R U R' U' , M']] (TD) ","[U R' U', M2] (RD)","[l : [U L' U' , M2]] (MD)  ","U' R' F' : R S R' , F (ND)","[U' : [L' F L , S']] (PD)  ","[u R' u' , M2] (OD)  ",[U' R2 U' : M' U2 M U2] (VD),M' u2 M' u2 (XD),U L2' : U M' U2 M U (WD)
UR (B),,"[M2 , R U R' U'] (DB) ",,"[M U2 M , U] (AB)",[U : M' U2 M U2] (CB),"[r : [M' , U R' U']] (EB)  ","[R, U' M2 U] (FB)",L' : U M' U2 M U] (GB)  ,,[f' : R' S R2' S' R'] (KB),"[R F' R' , S] (LB)","[r U2 : [U' , L' E L]] (JB)",[M2 : M' U M U M' U M U] (QB),[L : U M' U2 M U] (SB),"[M2 : [R U R' U' , M']] (TB)","[R', U' M2 U] (RB)","[L F L' , S'] (MB)","[F , L' S' L] (NB)","U2 : L' F L , S' (PB)","[L2 : [F , L' S' L]] (OB)",R' D' : R' S' R2 S R' (VB),[D' : R2 S' R2 S] (XB),[L2 U : M' U2 M U2] (WB)  
UF (A),,"[M', U2] (DA)","U' : [M2 , R U R' U'] (BA) ",,"R' F : R S R' , F2 (CA)",,[U R U' : M' U2 M U2] (FA),[U' L' U : M' U2 M U2] (GA),[l D' : R2 S' R2 S] (IA),F' : R2 E R2 E' (KA),[R' F' : R2 E R2 E'] (LA),[R2 F' : R2 E R2 E'] (JA)  ,"U : R' F' R , S (QA)",[U' L U : M' U2 M U2] (SA),"[U' M2 : [R U R' U' , M']] (TA)",[U R' U' : M' U2 M U2] (RA),r' : D L2 S L2 S' D' (MA),"[U R' F2 : [F , R S R']] (NA)",[L F : L2 E' L2 E] (PA),[F : L2 E' L2 E] (OA)  ,"R' F : R S' R' , F2 (VA)",u2 M' u2 M' (XA),"R' F : R' S' R , F2 (WA)"
UL (C),,"[M2 , L' U' L U] (DC) ",U' M' U2 M U' (BC),"R' F' : R S R' , F2 (AC)",,"[l' : [M' , U' L U]] (EC)  ",[R : U' M' U2 M U'] (FC)  ,"[L', U M2 U'] (GC)","R' F' R , S (IC)","[R2 : [F' , R S R']] (KC)",[R' f' R : S' R2 S R2] (LC),"[F' , R S R'] (JC)",[M2 : M' U' M U' M' U' M U'] (QC),"[L, U M2 U'] (SC)","[M2 : [L' U' L U , M']] (TC)",[R' : U' M' U2 M U'] (RC),,"[R' F2 : [F , R S R']] (NC)","[L' F L , S'] (PC)",[f : L S' L2 S L] (OC),[R2 U' : M' U2 M U2] (VC),D L2 S L2 S' D' (XC),"[L F : [L' U L , E] (WC)"
FU (E),,"[U' : [S , l' U' l]] (DE)","[r : [U R' U' , M']] (BE)",,"[l' : [U' L U , M']] (CE)",,"[M' : [U R U' , M']] (FE)","[M' : [U' L' U , M']] (GE)  ","R : [U M' U' , R'] (IE)","[U M' U' , R'] (KE)","[U' R2 U , M'] (LE)  ","[U' R U, M'] (JE)  ",[U M U : M U2 M' U2] (QE)  ,"[U' r : [E' , R' U' R]] (SE)  ","D : R F R' , S' (TE)","[M' : [U R' U' , M']] (RE)","[L' U L U' , M'] (ME)","[U L' U', M'] (NE)  ",[U' L F : L S' L2 S L] (PE)  ,"[U L U' , M'] (OE)  ","[U' : [S' , R' F' R]] (VE)  ",[U : M' U' M U2 M U M' U2] (XE)  ,"U : R' D' R, S' (WE)"
FR (F),,"[M2, U R U'] (DF)","[U' M2 U, R] (BF)",R' f2 R2 U' R2 f2 R2 U' R' (AF),[R : U M' U2 M U] (CF),"[M2 : [U R U' , M]] (EF)  ",,x M U M' U2 M U M' x' (GF),[F L' : U M' U2 M U] (IF)  ,"[R2 : [F' , R S' R']] (KF)  ",[R' F'S' : R S' R2 S R] (LF)  ,,"[U' L : [l' U l , E']] (QF)  ","[F' R : [U' , R E' R']] (SF)  ","[M : [M , U R U']] (TF)  ",[D' R : R2 S' R2 S] (RF)  ,"[L : [l' U l , E']] (MF)  ","[l' U l , E'] (NF)  ","R' : L' F L , S (PF)","[L2 : [E' , l' U l]] (OF)  ","[R ; [R , U' M2 U]] (VF)  ",R D' : R2 S' R2 S (XF),[M2 U' : L' E' L2 E L'] (WF)  
FL (G),,"[M2, U' L' U] (DG)",[L' : U' M' U2 M U'] (BG),[U' L' U' : [M' U2 M U2]] (AG),"[U M2 U', L'] (CG)","[M2 : [U' L' U , M]] (EG)  ",[x M U' : M' U2 M U2] (FG),,"[R' : [r U' r' , E]] (IG)  ",F R U' : R' E R2 E' R' (KG),F U' : R' E R2 E' R' (LG),"[r U' r' , E] (JG)  ","[U R' : [r U' r' , E]] (QG)  ",[D : r E' r2 E' r] (SG),"[M : [M , U' L' U]] (TG)  ","[F L' : [U , L' E L]] (RG)",l' U' l : U' M' U2 M U' (MG),,[r U E : L' E' L2 E L'] (PG) ,"[L2 : [F , L' S L]] (OG)  ",[M2 U : R E R2 E R] (VG)  ,[L' D : L2 S L2 S'] (XG),"[L' ; [L', U M2 U']] (WG)  "
RU (I),,"[r : [U' R' U , M2]] (DI)",,"[D : [R' F R , S']] (AI)","[S , R' F' R] (CI)","[M' , R U' R' U] (EI)",r U r' : U' M' U2 M U' (FI),"[R' : [E , r U' r']] (GI)  ",,"[R', U M' U'] (KI)  ",[S' : U' M' U2 M U'] (LI)  ,"[R, U M' U'] (JI)  ","U R : [U M' U' , R'] (QI)","[r : [E' , R' U' R]] (SI)  ","[r : [U' R' U , M']] (TI)  ","U M' : U R' U' , M' (RI)",M U' M U2 M' U' M' (MI)  ,ML' : U' M U2 M' U' (NI),[L F : L S' L2 S L] (PI)  ,[l U' : M U2 M' U2] (OI)  ,"[S' , R' F' R] (VI)  ",S' : D L2 S L2 S' D' (XI),"[R2 : [S' , R F' R']] (WI)  "
RB (K),,"[M' : [U' R' U , M2]] (DK)",[f' : R S R2' S' R] (BK),[F : R2 E R2 E'] (AK),"[R' : [S , R' F' R]] (CK)","[M' , U' R' U] (EK)","[R' : [S' , R' F' R]] (FK)",F R U' : R E R2' E' R (GK),"[U M' U', R'] (IK)  ",,"[R' ; [R', U M' U']] (LK)  ","[R' ; [R2, U M' U']] (JK)  ","[U : [U M' U' , R']] (QK)  ","L' : D' , r S r' (SK)","[M' : [U' R' U , M']] (TK)  ",,F' : R S R2 S' R (MK),[r U' : R' E R2 E' R'] (NK),[F' : R' S' R2 S R'] (PK)  ,[F' : R2 E' R2 E] (OK),"[S' : [U M' U' , R']] (VK)","D : D2 , r S r' (XK)","[D' , r S r'] (WK)  "
RD (L),,"[U : [S , R F' R']] (DL)","[S , R F' R'] (BL)",M' U' : S R2' S' R2 (AL),[R' f' R' : S' R2 S R2] (CL),"[[M' , U' R2 U]] (EL)",[R' F'S' : R' S' R2 S R'] (FL)  ,F U' : R E R2 E' R (GL),"[U M' U', R2] (IL)  ","[R' ; [U M' U', R']] (KL)  ",,"[R : [U M' R' , R]] (JL)  ","[U : [U M' U' , R2]] (QL)  ","L' : S' , R F' R' (SL)","[D' : [L' F L , S]] (TL)  ",[R' f' : R S R2 S' R] (RL)  ,[R' F' : R S R2' S' R] (ML)  ,[M' U' : R' E R2 E' R'] (NL)  ,[R' F' : R' S' R2 S R'] (PL)  ,[R' F' : R2 E' R2 E] (OL)  ,,[S' D' : R2 S' R2 S] (XL),"R' D' R , S (WL)"
RF (J),,"[M' : [U' R U , M2]] (DJ)","[r U2 : [r' S' r , U']] (BJ)",[R2 F : R2 E R2 E'] (AJ),"[R S R' , F'] (CJ)","M' , U' R U (EJ)",,"[E , r U' r'] (GJ)  ","[U M' U', R] (IJ)  ","[R' ; [U M' U', R2]] (KJ)  ","[R : [R , U M' U']] (LJ)  ",,"[U : [U M' U' , R]] (QJ)  ","[r2 : [E' , r' U' r]] (SJ)  ","[M' : [U' R U , M'] (TJ)  ","[R S' R' , F'] (RJ)  ","U' : M' , U' R U (MJ)",[M'R' U' : R' E R2 E' R'] (NJ)  ,R2 F' : R' S' R2 S R' (PJ),[R2 F' : R2 E' R2 E] (OJ),"S' : U M' U' , R (VJ)","D' : L' E' L , D2 (XJ)","D' , L' E' L (WJ)"
BU (Q),,,[M2 : U' M' U' M U' M' U' M] (BQ),"[U : [S , R' F' R]] (AQ)",[M2 : U M' U M U M' U M] (CQ),[U' M : U M U2 M' U] (EQ)  ,"[R' U : [S' , R' F' R]] (FQ)  ","[U R' : [E , r U' r']] (GQ)  ",M' U M U M' U M U (IQ)  ,"[U2 ; [U' R' U, M']] (KQ)  ",U' R' F' : R S R2' S' R (LQ),"[U : [R , U M' U']] (JQ)  ",,"[U r : [E' , R' U' R]] (SQ)  ",[M' U : M' U' M U2 M U M' U2] (TQ)  ,"[F' : [R U R' , E']] (RQ)  ",M' U' M U' M' U' M U' (MQ)  ,[L' : M' U' M U' M' U' M U'] (NQ),[U' S : U M' U2 M U] (PQ)  ,[U R x' : U' M U2 M' U'] (OQ)  ,"[U : [S' , R' F' R]] (VQ)  ",[U : M' U M U2 M U' M' U2] (XQ)  ,"[U' : [S , r U r']] (WQ)  "
BL (S),,"[M2, U' L U] (DS)",D : R E' R2' E R (BS),[U' L U' : [M' U2 M U2]] (AS),"[U M2 U', L] (CS)","[M' : [M' , U' L U]] (ES)  ","[F' R : [R E' R' , U']] (FS)  ",[D : r' E r2 E r'] (GS),"[r : [R' U' R , E']] (IS)  ",[r u' : R E R2 E' R] (KS),"L' : S , R' D' R (LS)","[r : [U' , r E' r']] (JS)  ","[F' R2 : [E' , R' U R]] (QS)  ",,"[M : [M , U' L U]] (TS)  ","R' D R : E' , R2 (RS)","[r U' : [r E' r' , U']] (MS)  ","[F , L' S L] (NS)  ",[L f : L S' L2 S L] (PS)  ,,[M2 U: R' E' R2 E R] (VS)  ,L : D L2 S L2 S' D' (XS),"M' : U S' U' , L' (WS)"
BD (T),,"D : r D r' , S (DT)","[r' : [U R U' , M]] (BT)  ","[D’: [R F R’, S’]] (AT)",l U l' : U M' U2 M U (CT),"D' : S , L' F' L (ET)","[M : [U R U' , M]] (FT)  ","[M : [U' L' U , M]] (GT)  ","rM' : U' R' U , M (IT)","[M' : [M' , U' R' U]] (KT)  ","[R' D' R D , M] (LT)","[M'  : [M' , U' R U]] (JT)",[M' U : M U M' U2 M' U' M U2] (QT)  ,"[M : [U' L U , M]] (ST)  ",,"[M : [U R' U' , M]] (RT)  ","[l' M' : [U L U' , M]] (MT)  ","[M' : [M' , U L' U']] (NT)  ","[D : [S' , R F' R']] (PT)","[M' : [M' , U L U']] (OT)  ","[D' : [R F' R' , S']] (VT)  ",,"[D : [L' F L , S]] (WT)  "
BR (R),,"[M2, U R' U'] (DR)","[U' M2 U, R'] (BR)",[U R' U : [M' U2 M U2]] (AR),[R' : U M' U2 M U] (CR),"[M' : [M' , U R' U']] (ER)  ",[D' R : S' R2 S R2] (FR)  ,"[F L' : [L' E L , U]] (GR)  ","[l' U : [l' E l , U]] (IR)  ",,[R' f' : R' S R2 S' R'] (LR)  ,"[F' , R S' R'] (JR)  ","[R U : [R' F' R , S']] (QR)",[L R' U : M' U2 M U2] (SR),"[M : [M , U R' U']] (TR)  ",,"[l' : [L U L' , E']] (MR)  ","[l' : [U , l' E l]] (NR)  ",[S R' : U M' U2 M U] (PR)  ,"[z' : [M , U R U']] (OR)  ","R2 : U' M2 U , R (VR)","[R' D' : [R2 , S']] (XR)",R' D' R' D' R D R D R D' (WR)
LU (M),,"[l' : [U L U' , M2]] (DM)","[S' , L F L'] (BM)",[r' D' : L2 S L2 S'] (AM),,[U : M' U' M U' M' U' M] (EM),"[U' M' : [U R U' , M']] (FM)  ",l' U' l : U M' U2 M U (GM),[M U : M U2 M' U2] (IM)  ,F' : R' S R2 S' R' (KM),[R' F' : R' S R2 S' R'] (LM)  ,"[U' : [U' R U , M']] (JM)",U M' U M U M' U M (QM)  ,"r U2 : r E' r' , U (SM)","[l' : [U L U' , M']] (TM)  ","[R' : [S' , r U r']] (RM)",,"[L', U' M' U] (NM)  ",[S : U M' U2 M U] (PM)  ,"[L, U' M' U] (OM)  ","[M' U' M , D'] (VM)  ",U2 M' U M U2 M U' M' (XM)  ,"R' D' R , S' (WM)"
LF (N),,"U' R' F2 : R S R' , F (DN)","[L' S' L , F] (BN)","[U R' F2 : [R S R' , F]] (AN)","[R' F2 : [R S R' , F]] (CN)","[M', U L' U'] (EN)  ","[E' , l' U l] (FN)  ",,"[U : [M' , U L' U']] (IN)  ",[L2 F : L2 E L2 E'] (KN)  ,[M' U' : R E R2 E' R] (LN)  ,[M'R' U' : R E R2' E' R] (JN),"[U' : [U' M' U , L']] (QN)  ","[L' S L , F] (SN)  ","[M' : [U L' U' , M']] (TN)  ","[l2' : [E , l U l']] (RN)  ","[U' M' U, L'] (MN)  ",,"[L' : [L' , U' M' U]] (PN)  ",[r U' : r' E' r2 E' r'] (ON)  ,"R' F2 : R S' R' , F (VN)","D : R E R' , D2 (XN)","[R' F2 : [R' S' R , F]] (WN)"
LD (P),,"[U' : [S' , L' F L]] (DP)",[L f L : S L2 S' L2] (BP),"U : S' , L' F L (AP)","[S' , L' F L] (CP)",[U' L F : L' S' L2 S L'] (EP)  ,[S R : U' M' U2 M U'] (FP)  ,[r U E : L E' L2 E L] (GP),[L F : L' S' L2 S L'] (IP)  ,[L F : L2 E L2 E'] (KP)  ,[R' F' : R S' R2 S R] (LP)  ,[R2' F' : R S' R2 S R] (JP),[U' S : U' M' U2 M U'] (QP)  ,[L f : L' S' L2 S L'] (SP)  ,"[D : [R F' R' , S']] (TP)  ",[S R' : U' M' U2 M U'] (RP)  ,[S : U' M' U2 M U'] (MP)  ,"[L' : [U' M' U , L']] (NP)",,"[L ; [U' M' U, L]] (OP)  ","[S , L' F L] (VP)  ",[S D : L2 S L2 S'] (XP),
LB (O),,"[M' : [U L U' , M2]] (DO)","[L : [S' , L F L']] (BO)",F' r2 E r2 E F (AO),[f : L' S' L2 S L'] (CO),"[M' , U' R' U] (EO)","R' : D , R' E' R (FO)","[L : [S , L F L']] (GO)  ",F : L' S' L2 S L' (IO),[F : L2 E L2 E'] (KO)  ,[R' F' : E' R2 E R2] (LO)  ,[R2 F' : E' R2 E R2] (JO)  ,"[U' : [U' M' U , L]] (QO)  ",,"[M' : [U L U' , M']] (TO)  ","R D R' , E' (RO)","[U' M' U, L] (MO)  ",[r U' : r E r2 E r'] (NO)  ,"[L ; [L, U' M' U]] (PO)",,"D , R' E' R (VO)","D : R' E' R , D2 (XO)","S : U' M' U , L (WO)"
DR (V),,"[M2, U R2 U'] (DV)","[U' M2 U, R2] (BV)","R' F' : R S' R' , F2 (AV)",[R2 U : M' U2 M U2] (CV),"[U' : [R' F' R , S']] (EV)  ","[R ; [U' M2 U , R]] (FV)  ",[M2 U : R' E R2 E' R] (GV)  ,"[R' F' R , S'] (IV)  ","[D2 : [r S r' , D]] (KV) ",,"S' : R , U M' U' (JV)","[U : [R' F' R , S']] (QV)  ","M' R' F : R2 , E' (SV)","D' : R' D' R , S (TV)","[R' : [U' M2 U , R']] (RV)  ","D' : R' D' R , S' (MV)","[R' F' : [R S' R' , F']] (NV)","[L' F L , S] (PV)  "," R' E' R , D (OV)",,M2 U : S R2 S' R2 (XV),[S2 : U' M' U2 M U'] (WV)
DB (X),,M2 U2 M' U2 M' (DX),[D : R2' S' R2 S] (BX),[M' : U2 M' U2 M] (AX),D' L2 S L2 S' D (CX),U M U M' U2 M' U' M U (EX)  ,R D' : R2 S' R2 S (FX),[L' D' : L2 S L2 S'] (GX),U2 M U M' U2 M' U' M (IX)  ,"D : r S r' , D2 (KX)",[S' D : R2' S' R2 S] (LX),"D : L' E' L , D2 (JX)",[U : M U' M' U2 M' U M U2] (QX)  ,L : D' L2 S L2 S' D (SX),,"R' D : R2 , S' (RX)",M U M' U2 M' U' M U2 (MX)  ,[L' : U2 M U' M' U2 M' U M] (NX),[S U' : M' U2 M' U2 M2] (PX)  ,[L : M U M' U2 M' U' M U2] (OX),M2 U' : S R2' S' R2 (VX),,M2 U : S' L2 S L2 (WX)
DL (W),,"[M2, U' L2 U] (DW)",L2 : U' M' U2 M U' (BW),"R' F : F2 , R' S' R (AW)","[U M2 U', L2] (CW)","U : S' , R' D' R (EW)",[M2 U' : L E' L2 E L'] (FW),R' F'S R : U M' U2 M U (GW),"[R2 : [R F' R' , S']] (IW)  ","r S r' , D' (KW)","[R F' R' , S'] (LW)  ","r' S r , D' (JW)","[U' : [L F L' , S]] (QW)  ","[L : [U M2 U' , L]] (SW)","[D : [S , L' F L]] (TW)  ",D R' D' R' D' R' D R D R (RW),"[r U r' , S] (MW)  ","R' F' : R' S' R , F' (NW)",,"D2 : R' E' R , D' (OW)",[S2 : U M' U2 M U] (VW),M2 U' : S' L2 S L2 (XW),
,,,,,,,,,,,,,,,,,,,,,,,
,,,,  ,,,,,,,,,,,,,,,,,,,